size,threads,total_time,compute_time
64,1,0.372941,0.372941
64,2,0.399593,0.399593
64,4,0.23905,0.23905
64,8,0.298865,0.298865
128,1,3.33766,3.33766
128,2,2.23584,2.23584
128,4,1.12075,1.12075
128,8,0.706979,0.706979
256,1,7.0089,7.0089
256,2,10.95,10.95
256,4,7.19701,7.19701
256,8,8.37281,8.37281
512,1,64.9446,64.9446
512,2,87.2469,87.2469
512,4,46.7109,46.7109
512,8,30.2326,30.2326
1024,1,374.151,374.151
1024,2,561.059,561.059
1024,4,358.367,358.367
1024,8,202.429,202.429
200,1,14.5438,14.5438
200,2,7.27775,7.27775
200,4,3.51848,3.51848
200,8,3.19276,3.19276
400,1,109.905,109.905
400,2,54.5628,54.5628
400,4,28.3496,28.3496
400,8,16.8604,16.8604
800,1,890.478,890.478
800,2,453.204,453.204
800,4,231.246,231.246
800,8,175.175,175.175
1200,1,2776.29,2776.29
1200,2,1031.67,1031.67
1200,4,539.149,539.149
1200,8,361.473,361.473
1600,1,8280.88,8280.88
1600,2,4543.97,4543.97
1600,4,2439.31,2439.31
1600,8,2004.31,2004.31
2000,1,18219.1,18219.1
2000,2,9735.82,9735.82
2000,4,5183.1,5183.1
2000,8,2477.59,2477.59
